song,artist,album,released_date,genre,like,lyrics
Old Town Road,Lil Nas X,Old Town Road,2019.03.14,랩/힙합,"54,269","Yeah I'm gonna take my horse
to the old town road
I'm gonna ride
'til I can't no more
I'm gonna take my horse
to the old town road
I'm gonna ride
Kio Kio
'til I can't no more
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots
that's black to match
Ridin' on a horse ha
You can whip your Porsche
I been in the valley
You ain't been up off
that porch now
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'
Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'
Yeah I'm gonna take my horse
to the old town road
I'm gonna ride
'til I can't no more
I'm gonna take my horse
to the old town road
I'm gonna ride
'til I can't no more
I got the"
SUN GOES DOWN,Lil Nas X,SUN GOES DOWN,2021.05.21,랩/힙합,"23,221","I wanna run away
Don't wanna lie
I don't want a life
Send me a gun and I'll see the sun
I'd rather run away
Don't wanna lie
I don't want a life
Send me a gun and I'll see the sun
You need an instant ease
From the life where you got plenty
Of every hurt and heartbreak
You just take it all to the face
I know that you want to cry
But it's much more
to life than dyin'
Over your past mistakes
And people who threw dirt
on your name
Since ten I been feelin' lonely
Had friends
but they was pickin' on me
Always thinkin' why my lips so big
Was I too dark
Can they sense my fears
These gay thoughts
would always haunt me
I prayed God would take it from me
It's hard for you
when you're fightin'
And nobody knows it
when you're silent
I'd be by the phone
Staning Nicki mornin' into dawn
Only place I felt like I belonged
Strangers make you
feel so loved you know
And I'm happy by the way
That I made that jump
that leap of faith
I'm happy that it all
worked out for me
I'ma make my fans
so proud of me Ohhh
I wanna run away
Don't wanna lie
I don't want a life
Send me a gun and I'll see the sun
I'd rather run away
Don't wanna lie
I don't want a life
Send me a gun and I'll see the sun
You need an instant ease
From the life where you got plenty
Of every hurt and heartbreak
You just take it all to the face
I know that you want to cry
But it's much more
to life than dying
Over your past mistakes
And people who throw dirt
on your name
Ha-oh ha-oh no-oh"
THATS WHAT I WANT,Lil Nas X,MONTERO,2021.09.17,랩/힙합,"10,453","One two three four
Need a boy who can cuddle
with me all night
Keep me warm love me long
be my sunlight
Tell me lies we can argue
we can fight
Yeah we did it before
but we'll do it tonight
That afro black boy
with the gold teeth
He dark skin lookin' at me
like he know me
I wonder if he got the G or the B
Let me find out and see
he comin' over to me yeah
These days I'm way too lonely
I'm missin' out I know
These days I'm way too alone
And I'm known
for givin' love away but
I want someonе to love me
I need someonе who needs me
'Cause it don't feel right
when it's late at night
And it's just me in my dreams
So I want someone to love
That's what I fuckin' want
Look you know it's harder
to find in these times
But I got nothin' but love
on my mind My mind
I need a baby while I'm in my prime
Need an adversary
to my down and weary
Like tell me there's life
when I'm stressin' at night
Be like You'll be okay and
Everything is alright uh
Love me or nothin'
'cause I'm not wanting anything
But your loving your body
and a little bit of your brain
These days I'm way too lonely
I'm missin' out I know
These days I'm way too alone
And I'm known
for givin' love away but
I want someone to love me
I need someone who needs me
'Cause it don't feel right
when it's late at night
And it's just me in my dreams
So I want someone to love
That's what I fuckin' want
I want someone to love me
I need someone who needs me
'Cause it don't feel right
when it's late at night
And it's just me in my dreams
So I want someone to love
That's what I fuckin' want"
Old Town Road (Remix) (feat. Billy Ray Cyrus),Lil Nas X,Old Town Road (Remix) (feat. Billy Ray Cyrus),2019.04.05,랩/힙합,"24,575","Oh oh-oh
Oh
Yeah I'm gonna take my horse
to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse
to the old town road
I'm gonna ride 'til I can't no more
Kio Kio
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots
that's black to match
Ridin' on a horse ha
You can whip your Porsche
I been in the valley
You ain't been up
off that porch now
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'
Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'
Yeah I'm gonna take my horse
to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse
to the old town road
I'm gonna ride 'til I can't no more
Hat down cross town
livin' like a rockstar
Spent a lot of money
on my brand new guitar
Baby's got a habit
diamond rings
and Fendi sports bras
Ridin' down Rodeo
in my Maserati sports car
Got no stress
I've been through all that
I'm like a Marlboro
Man so I kick on back
Wish I could roll on
back to that old town road
I wanna ride
'til I can't no more
Yeah I'm gonna take my horse
to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse
to the old town road
I'm gonna ride 'til I can't no more"
Rodeo,"Lil Nas X, Cardi B",7 EP,2019.06.21,랩/힙합,"5,367","Daytrip took it to 10
Hey
Oh here we go please let me know
Off we go don't leave me in the cold
If I took you everywhere then well
you wouldn't know how to walk
If I spoke on your behalf then well
you wouldn't know how to talk
If I gave you everything
and everything is what I bought
I can take it all back
I never cared 'bout what you thought
I didn't mean to make you mad
I don't like when you upset
I'ma call you later on baby girl
don't you forget
I'ma take you from this party
we might go and have some sex
Or we do that later on
now we lit like cigarettes
I thought you would stay with me
I'm yours and you're mine I envy
So what I'm gon' do
I don't have no clue
ain't no me without you
Oh here we go please let me know
Off we go don't leave me in the cold
If I took you everywhere then well
you wouldn't know how to walk
If I spoke on your behalf then well
you wouldn't know how to talk
If I gave you everything
and everything is what I bought
I can take it all back
I never cared 'bout what you thought
Cardi
Look gunshot gunshot
Thought you heard about me
must not must not
Last nigga did me dirty dirty
Like a bathroom
in a truck stop truck stop
Now my heart it feels like Brillo
I'm hard like armadillo
Can't be no nigga ex
I could only be his widow
That's a fact dressed in black
my heart break bones will crack
I be chilling watching Oxygen
my favorite show is Snapped
Now you know how I get
every day a foreign whip
Rather see you in a hearse
than see you with some other bitch
Huh
Oh here we go please let me know
Off we go don't leave me in the cold
If I took you everywhere then well
you wouldn't know how to walk
If I spoke on your behalf then well
you wouldn't know how to talk
If I gave you everything
and everything is what I bought
I can take it all back
I never cared 'bout what you thought
I thought you would stay with me
I'm yours and you're mine I envy
So what I'm gon' do
I don't have no clue
ain't no me without you"
MONTERO (Call Me By Your Name) (But Lil Nas X Makes All The Sounds With His Mouth),Lil Nas X,MONTERO (Call Me By Your Name),2021.04.23,랩/힙합,"1,651","Is it recording
I caught it bad yesterday
You hit me with a call
to your place
Ain't been out in a while anyway
Was hopin' I could catch you
throwin' smiles in my face
Romantic talkin'
You don't even have to try
You're cute enough to fuck
with me tonight
Lookin' at the table
all I see is weed and white
Baby you livin' the life
but nigga you ain't livin' right
Cocaine and drinkin'
with your friends
You live in the dark
boy I cannot pretend
I'm not fazed only here to sin
If Eve ain't in your garden
you know that you can
Call me when you want
call me when you need
Call me in the morning
I'll be on the way
Call me when you want
call me whеn you need
Call me out by your name
I'll be on thе way like
Mmm mmm mmm
Mmm mmm mmm
Ayy ayy
I wanna sell what you're buyin'
I wanna feel on your ass in Hawaii
I want that jet lag
from fuckin' and flyin'
Shoot a child in your mouth
while I'm ridin'
Oh oh oh why me
A sign of the times
every time that I speak
A dime and a nine
it was mine every week
What a time an incline
God was shinin' on me
Now I can't leave
And now I'm actin' hella elite
Never want the niggas
that's in my league
I wanna fuck the ones
I envy I envy
Cocaine and drinkin'
with your friends
You live in the dark
boy I cannot pretend
I'm not fazed only here to sin
If Eve ain't in your garden
you know that you can
Call me when you want
call me when you need
Call me in the morning
I'll be on the way
Call me when you want
call me when you need
Call me out by your name
I'll be on the way like
Oh call me by your name
Mmm mmm mmm
Tell me you love me in private
Call me by your name
Mmm mmm mmm
I do not care if you lyin'"
Boys,Lizzo,Boys,2018.06.22,랩/힙합,"14,170","Ay boy whatcha say boy
You tryna play coy like a Gameboy
Hit my phone boy
is you home boy
Are you alone boy
Come give me dome boy
Got a boy with degrees
a boy in the streets
A boy on his knees
he a man in the sheets
Sheesh it's all Greek to me
Got this boy speaking Spanish
ay Papi
Baby I don't need you
I just wanna freak you
I heard you a freak too
What's 2 plus 2 4 3 2 ow
Boys boys boys
Make a girl go crazy 4 3 2 ow
Boys boys boys
Make a girl go crazy 4 3 2 ow
I like big boys itty bitty boys
Mississippi boys inner city boys
I like the pretty boys
with the bow tie
Get your nails did
let it blow dry
I like a big beard I like a clean face
I don't discriminate
come and get a taste
From the playboys to the gay boys
Go and slay boys you my fave boys
Baby I don't need you
I don't need
I just wanna freak you
Want I want it bad
I heard you a freak too
That's right
What's 2 plus 2 4 3 2 ow
Boys boys boys
Make a girl go crazy 4 3 2 ow
Boys boys boys
Make a girl go crazy 4 3 2 ow
4 3 2 ow Woo
Boys boys boys
Make a girl go crazy 4 3 2 ow
done lost your mind
Boys boys boys
Make a girl go crazy ow"
Juice,Lizzo,Cuz I Love You (Deluxe),2019.05.10,POP,"87,897","Mirror, mirror on the wall
Don't say it,
'cause I know I'm cute
(ooh, baby)
Louis down to my drawers
LV all on my shoes
(ooh, baby)
I be dripping so much sauce
Gotta been looking like ragu
(ooh, baby)
Lit up like a crystal ball
That's cool, baby, so is you
That's how I roll
If I'm shining,
everybody gonna shine
(Yeah, I'm goals)
I was born like this,
don't even gotta try
(Now you know)
I'm like Chardonnay,
get better over time
(So you know)
Heard you say
I'm not the baddest bitch,
you lie
It ain't my fault
that I'm out here getting loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault
that I'm out here making news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice,
blame it, blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice,
blame it, blame it on my juice
(ooh, baby)
No, I'm not a snack at all
Look, baby,
I'm the whole damn meal
(ooh, baby)
Baby, you ain't being slick
Don't dare try to cop a feel
(ooh, baby)
If the juice ain't worth the squeeze
If the juice don't look like this
(like this, like this, like this)
Hold up, nigga, please
Don't make me have
to take your bitch, shit
(how I roll)
If I'm shining, everybody gonna shine
(Yeah, I'm goals)
I was born like this,
don't even gotta try
(Now you know)
I'm like Chardonnay,
get better over time
(So you know)
Heard you say
I'm not the baddest bitch, you lie
(you lie)
It ain't my fault
that I'm out here getting loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault
that I'm out here making news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee (ya-ya-ee),
ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice,
blame it, blame it on my juice
Ya-ya-ee (ya-ya-ee),
ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice,
blame it, blame it on my juice,
ya-ya-ee (alright)
Somebody come get this man
I think he got lost in my DMs, what?
My DMs, what?
You better come get your man
I think he wanna be way
more than friends, what?
More than friends
What you want me to say?
It ain't my fault
that I'm out here getting loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault
that I'm out here making news
I'm the pudding in the proof
(pudding in the proof)
Gotta blame it on my juice
(blame it on my juice)
Ya-ya-ee (yay-ya),
ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice,
blame it, blame it on my juice
Ya-ya-ee (ya-ya-ee),
ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice,
blame it, blame it on my juice
(blame it on it, yeah)"
About Damn Time,Lizzo,Special,2022.06.10,POP,"20,785","It's bad bitch o'clock
Yeah it's thick thirty
I've been through a lot
But I'm still flirty
Is everybody back up
in the building
It's been a minute tell me
how you're healing
Cuz I'm about to get
into my feelings
How you feeling
how you feel right now
Oh I've been so down
and under pressure
I'm way too fine
to be this stressed yeah
Oh I'm not the girl I was
or used to be
Bitch I might be better
Turn up the music
turn down the lights
I got a feeling
I'm gonna be alright
Okay alright
It's about damn time
Turn up the music let's celebrate
I got a feeling I'm gonna be okay
Okay alright
It's about damn time
In a minute I'm a need a
sentimental man or woman
To pump me up
Feeling fussy walking in my
balenciussies trying to bring out
The fabulous
Cuz I give a fuck way too much
I'm a need like two shots
in my cup
One to get up one to get down
Mhm that's how I feel right now
Oh I've been so down
and under pressure
I'm way too fine
to be this stressed yeah
Oh I'm not the girl
I was or used to be
Bitch I might be better
Turn up the music
turn down the lights
I got a feeling
I'm gonna be alright
Okay alright
It's about damn time
Turn up the music
let's celebrate
I got a feeling
I'm gonna be okay
Okay alright
It's about damn time
Bitch
Haha you know what time it is
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
Okay alright
It's about damn time
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
I'm coming out tonight
Okay alright
It's about damn time
Bitch yeah
It's about damn time"
Special (feat. SZA),Lizzo,Special (feat. SZA),2023.02.09,POP,"2,847","(Ba-ba-ba, ba-ba-ba)
(Ba-ba-ba, ba-ba-ba)
Special
Woke up this mornin' to
somebody judgin' me
No surprise they judgin' me,
don't know who I'm 'posed to be
I'm just actin' up, I'm rash as fuck,
and never sayin' sorry
Found out in the end
that I can only do it for me
You call it sensitive
and I call it superpower
You just lack empathy
'cause you think it gives you power
All I know is only God can judge me
I don't hide my heart, I wear it on me
I'm used to feelin' alone, oh
(Feelin' alone)
So I thought that I'd let you know
In case nobody told you today
You're special
In case nobody made you believe
(Nobody, no, no)
You're special
Well, I will always love you the same
You're special
I'm so glad that you're still with us
(So glad, so glad, so glad)
Broken, but damn, you're still perfect
(You're perfect)
Special (Ba-ba-ba, ba-ba-ba)
(Ba-ba-ba, ba-ba-ba)
Could you imagine a world
where everybody's the same
And you could cancel a girl
'cause she just wanted to change?
How could you throw fuckin' stones
if you ain't been through her pain?
That's why we feel so alone,
that's why we feel so much shame, hm
I'm used to feelin' alone, oh
So I thought that I'd let you know (Oh)
In case nobody told you today
You're special
In case nobody made you believe
(Nobody made you believe)
You're special
Well, I will always love you the same
(I'll always love you)
You're special
I'm so glad that you're still with us
Broken, but damn, you're still perfect
I know that I'm not alone, oh
(No, you're not alone)
So I thought that I'd let you know
Uh, yeah, yeah (No, oh, woo)
In case nobody told you today
(Nobody told you, nobody)
You're special (Yeah)
In case nobody
made you believe (Oh-oh)
You're special (Yeah)
Well, I will always love you the same
(I'll always love you, I'll always love you)
You're special
I'm so glad that you're still with us
(I'm so glad, so glad, so glad)
Broken, but damn, you're still perfect
(I'm so glad, so glad, so glad)
Special
You are, you are, you are so
Special
Yeah, yeah, yeah, yeah, yeah, yeah
(Mm-mm)
Yeah, yeah, yeah, yeah, hey"
Good As Hell (feat. Ariana Grande) [Remix],Lizzo,Good As Hell (feat. Ariana Grande) [Remix],2019.10.25,랩/힙합,"22,106","I do my hair toss check my nails
Baby how you feelin'
Feelin' good as hell
Hair toss check my nails
Baby how you feelin'
Feelin' good as hell
Woo child tired of the bullshit
Go on dust your shoulders off
keep it moving
Yes Lord tryna get some new shit
In there swimwear
going to the pool shit
Come now come dry your eyes
You know you a star
you can touch the sky
I know that it's hard
but you have to try
If you need advice
let me simplify
If he don't love you anymore
Just walk your fine
ass out the door
I do my hair toss check my nails
Baby how you feelin'
Feelin' good as hell
Hair toss check my nails
Baby how you feelin'
Feelin' good as hell
Feeling good as hell
Baby how you feelin'
Feelin' good as hell
Woo girl need to
kick off your shoes
Gotta take a deep breath
time to focus on you
All the big fights
long nights that you been through
I got a bottle of tequila
I been saving for you Thank god
'Cause he better know my worth
There's so much that I deserve
But I ain't worried now
I'ma let my hair down
He been tryin' it but not today
So girl
if he don't love you anymore
Then walk your fine
ass out the door
And do your hair toss
check my nails Ah
Baby how you feelin'
Feelin' good as hell
Hair toss check my nails Mmm
Baby how you feelin'
Feelin' good as hell
Show it off tonight
Hair toss check my nails Woo
Baby how you feelin'
Feelin' good as hell
And we gon' be alright oh
Hair toss check my nails Mmm
Baby how you feelin'
Feelin' good as hell
Ooh yeah alright Yee
Listen so girl
if he don't love you anymore more
Then walk your fine
ass out the door Door
And do your hair toss
check my nails Woo
Baby how you feelin'
Feelin' good as hell Woo hoo
Hair toss check my nails
Hey yeah
Baby how you feelin'
Feelin' good as hell
Show it off tonight
Hair toss check my nails Mmm
Baby how you feelin'
Feelin' good as hell
And we gon' make it right
Hair toss check my nails
Oh hey
Baby how you feelin'
Feelin' good as hell Yeah
Feelin' good as hell
Baby how you feelin'
Feelin' good as hell
Haha I danced
that's what I did"
Pink,Lizzo,Barbie The Album,2023.07.21,POP,"1,511","When I wake up
In my own pink world
I get up out of bed and wave to my home girls
Hey Barbie, hey
She's so cool
All dolled up, just playing chess by the pool
Come on we got important things to do
It's her, and her
And me and you
In Pink
Goes with everything
Beautiful, from head to toe
I'm read to go
You know, you know
It's Pink
Good enough to drink
We like other colors but
Pink just looks so good on us
What you wearing
Dress or suit
Either way that power looks so good on you
Hey Barbie
I like your style
If that was really a mirror, you'd see a perfect smile
Round and round and round and round and
That's my barbie
(go barbie, go barbie)
That's my barbie
(oh oh oh)
That's my barbie
(go barbie, go barbie)
That's my barbie
(oh oh oh)
Come on we got important things to do
It's her, and her
And me and you
In Pink
Goes with everything
Beautiful, from head to toe
I'm read to go
You know, you know
It's Pink (pretty pink)
Good enough to drink (oh yeah)
We like other colors but
Pink just looks so good on us
P - pretty
I - intelligent
N - never sad
K - cool
Hey Midge, nevermind"
About Damn Time,Lizzo,About Damn Time,2022.04.14,POP,394,"Anyway-

It's bad bitch o'clock, yeah, it's thick:30
I've been through a lot, but I'm still flirty (okay)
Is everybody back up in the building?
It's been a minute, tell me how you're healing
'Cause I'm about to get into my feelings
How you feeling? How you feel right now?

Oh, I've been so down and under pressure
I'm way too fine to be this stressed, yeah
Oh, I'm not the girl I was or used to be, uh
Bitch, I might be better

Turn up the music, turn down the lights
I've got a feeling I'm gon' be alright
Okay (okay), alright
It's about damn time (time)
Turn up the music, let's celebrate (alright)
I've got a feeling I'm gon' be okay
Okay (okay), alright
It's about damn time

In a minute, I'ma need a sentimental
Man or woman to pump me up
Feeling fussy, walking in my Balenci-ussies
Tryna bring out the fabulous
'Cause I give a fuck way too much
I'ma need, like, two shots in my cup
Wanna get up, wanna get down
Mmh, that's how I feel right now

Oh, I've been so down and under pressure
I'm way too fine to be this stressed, yeah
Oh, I'm not the girl I was or used to be, uh
Bitch, I might be better

Turn up the music, turn down the lights
I've got a feeling I'm gon' be alright
Okay (okay), alright
It's about damn time (time)
Turn up the music, let's celebrate (alright)
I've got a feeling I'm gon' be okay
Okay (okay), alright
It's about damn time (bitch!)

'Cause, uh, you know what time it is, uh
I'm coming out tonight
I'm coming out tonight (uh-huh)
I'm coming out tonight
I'm coming out tonight (ooh)
I'm coming out tonight
I'm coming out tonight
Okay (okay), alright (alright)
It's about damn time (ooh)

I'm coming out tonight (let's go)
I'm coming out tonight (coming out tonight)
I'm coming out tonight
I'm coming out tonight (ooh)
I'm coming out tonight
I'm coming out tonight (coming out tonight)
Okay (okay), alright
It's about damn time (oh-oh-oh-oh)

Bitch
Yeah, yeah
It's about damn time"
Tempo (feat. Missy Elliott),Lizzo,Cuz I Love You (Super Deluxe),2020.02.13,POP,964,"I've been waitin' for this one
Turn it up
Slow songs, they for skinny hoes
Can't move all of this
here to one of those
I'm a thick bitch, I need tempo (Tempo)
Fuck it up to the tempo
Pitty-pat, pitty-pat, pitty-pitty-pat (Pat)
Look at my ass, it's fitty-fitty-fat (Fat)
Kitty cat, kitty cat, kitty-kitty cat (Cat)
Prrr me a glass, boy,
I like my water wet (Wet)
Throw it back
(Throw it back, threw it back)
Catch that (Catch that, catch that)
I need a jack (Woo)
For all of this ass,
but it won't go flat (Wait a minute)
Baby, baby (Baby)
Come eat some of this cakey (Cake)
He look like he could gain
a little weight (A little weight)
Lick the icing off,
put the rest in your face (Face)
Slow songs, they for skinny hoes
Can't move all of this
here to one of those (Hey)
I'm a thick bitch, I need tempo (Need it)
Fuck it up to the tempo
Fuck it up to the tempo
Fuck it up to the tempo
Slow songs, they for skinny hoes
Fuck it up to the tempo (Tempo)
Fuck it up, fuck it up
Boyfriend watchin',
oh now he wanna knuckle up
Get on this ride, baby,
you gon' have to buckle up
Thick thighs save lives,
call me little buttercup
All means necessary (Ayy)
My ass is not an accesserary (What?)
Nigga, I said it, accessarary (What?)
Twerk skills up on legendary
Slow songs, they for skinny hoes
Can't move all of this
here to one of those (Hey)
I'm a thick bitch, I need tempo (Need it)
Fuck it up to the tempo
Fuck it up to the tempo
Fuck it up to the tempo
Slow songs, they for skinny hoes
Fuck it up to the tempo
Missy
Let's go (Let's go), let's go (Let's go)
All the fly girls head to the dance floor
Kitty cat, kitty cat, prrr
All the thick girls down on the flrrr
(On the floor)
Ice on my neck like brrr (Like brrr)
I'm big-boned
with nice curves (Nice curves)
Look at me, I know I look grrrd (Good)
Look good, look good,
look grrrd (Look good)
I'ma show y'all chicks how to drrr it
Your nigga, he wish he could
Thick girl (Thick girl), split (Split)
Get a bag (Get a bag), get rich (Get rich)
Hair done (Hair done), fixed (Fixed)
If you see a hater, tell him quit (Stop)
Get your own dough (Own dough)
Get your bread,
own dough (Own dough)
Go on, ladies, head to the floor (Floor)
Fuck up the tempo,
thick girls get low (Woo)
Slow songs, they for skinny hoes
Can't move all of this
here to one of those (Hey)
I'm a thick bitch, I need tempo (Need it)
Fuck it up to the tempo
Fuck it up to the tempo
Fuck it up to the tempo
Slow songs, they for skinny hoes
Fuck it up to the tempo"
2 Be Loved (Am I Ready),Lizzo,Special,2022.07.15,POP,"2,743","Sheesh
Mmm-mm hahaha
Girl I'm 'bout to have
a panic attack
I did the work it didn't work
ah ah (Mm mm)
That truth it hurts
goddamn it hurts
ah ah (Goddamnit)
That lovey dovey shit
was not a fan of it (Nah-ah)
I'm good with my friends
I don't want a man girl
I'm in my bed I'm way too fine
to be here alone (Too fine)
On other hand
I know my worth ah ah
And now he callin' me (Rrr)
why do I feel like this
What's happened to me Oh oh oh
Am I ready
(No there ain't a doubt)
Am I ready
(What you talkin' 'bout )
Am I ready
(You gon' figure it out)
To be loved to be loved
(To be loved)
Am I ready (You deserve to know)
'Cause I want it
(That's what I'm talking 'bout)
Am I ready
(You gon' figure it out)
To be loved to be loved
How am I supposеd to love
somebody elsе (Sheesh sheesh)
When I don't like myself
like Ooh
Guess I better learn to
like this ooh (True)
It might take my whole life
just to do (Damn)
Hey hey he call me Melly
(Aye) he squeeze my belly (Yeah)
I'm too embarrassed (Ah)
to say I like it
Girl is this my boo
(Girl is this my boo Hahaha)
That's why I'm asking you
'cause you know
I've been through yeah
Am I ready
(No there ain't a doubt)
Am I ready
(What you talkin' 'bout )
Am I ready
(You gon' figure it out)
To be loved (To be loved)
to be loved (To be loved)
Am I ready (You deserve to know)
'Cause I want it
(That's what I'm talking 'bout)
Am I ready
(You gon' figure it out)
To be loved to be loved (Yeah)
You found me
I was fed up with the fantasy
What you wanna do
Think I'm ready ooh
Think you like that
think you like that
When I clap back like that
let me know
(Let me know ha ha)
You found me
I was fed up with the fantasy
What you wanna do
Think I'm ready ooh
Think you like that
think you like that
When I clap back like that
let me know
Am I ready (Ah)
(No there ain't a doubr)
Am I ready (Yeah)
(What you talkin' 'bout )
Am I ready
(You gon' figure it out)
To be loved (To be loved)
to be loved (To be loved)
Am I ready (You deserve to know)
'Cause I want it
(That's what I'm talking 'bout)
Am I ready
(Yeah yeah woo woo woo)
(You gon' figure it out)
To be loved (To be loved)
to be loved (To be loved)
(Am I ready )
That's the day
I would have run away
And I don't know why
I don't know why (To be loved)
know why (To be loved)
(Am I ready )
That's the day
I would have run away
And I don't know why
(You don't know)
I don't know why but I'm ready"
Good News,Mac Miller,Circles,2020.01.09,랩/힙합,"31,265","I spent the whole day in my head
Do a little spring cleanin'
I'm always too busy dreamin'
Well maybe
I should wake up instead
A lot of things I regret
but I just say I forget
Why can't it just be easy
Why does everybody need me
to stay
Oh I hate the feeling
When you're high
but you're underneath the ceiling
Got the cards in my hand
I hate dealing yeah
Get everything
I need then I'm gone
but it ain't stealing
Can I get a break
I wish that I could just get out
my goddamn way
What is there to say
There ain't a better time
than today
But maybe I'll lay down
for a little yeah
Instead of always trying
to figure everything out
And all I do is say sorry
Half the time I don't even know
what I'm saying it about
Good news good news good news
That's all they wanna hear
No they don't like it
when I'm down
But when I'm flying oh
It make 'em so uncomfortable
So different
what's the difference
Well it ain't that bad
It could always be worse
I'm running out of gas
hardly anything left
Hope I make it home from work
Well so tired of being so tired
Why I gotta build
something beautiful
just to go set it on fire
I'm no liar but
Sometimes the truth
don't sound like the truth
Maybe 'cause it ain't
I just love the way it sound
when I say it
Yeah it's what I do
If you know me
it ain't anything new
Wake up to the moon
haven't seen the sun
in a while
But I heard
that the sky's still blue yeah
I heard they don't talk about me
too much no more
And that's a problem
with a closed door
Good news good news good news
That's all they wanna hear
No they don't like it
when I'm down
But when I'm flying oh
It make 'em so uncomfortable
So different
what's the difference
There's a whole lot more for me
waitin' on the other side
I'm always wonderin'
if it feel like summer
I know maybe I'm too late
I could make it
there some other time
I'll finally discover
That there's a whole lot more
for me waitin'
That there's a whole lot more
for me waitin'
I know maybe I'm too late
I could make it
there some other time
Then I'll finally discover
That it ain't that bad
ain't so bad
Well it ain't that bad mm
At least it don't gotta be no more
No more no more no more no more
No no no no no no no no
Hey hey
Mm hey mm mm mm"
Come Back to Earth,Mac Miller,Swimming,2018.08.03,랩/힙합,"21,168","My regrets look just like texts
I shouldn't send
And I got neighbors
they're more like strangers
We could be friends
I just need a way out of my head
I'll do anything for a way out
Of my head
In my own way
this feel like living
Some alternate reality
And I was drowning
but now I'm swimming
Through stressful waters to relief
Oh the things I'd do
To spend a little time in hell
And what I won't tell you
I prolly never even tell myself
And don't you know
that sunshine don't feel right
When you inside all day
I wish it was nice out
but it looked like rain
Grey skies and I'm drifting
not living forever
They told me it only gets better
My regrets look just like texts
I shouldn't send
And I got neighbors
they're more like strangers
We could be friends
I just need a way out of my head
I'll do anything for a way out
Of my head"
